AT SMY  174.1031 52.7308
TA R24A  -105.1075 38.2315
TA R25A  -104.2834 38.1474
TA S04C  -121.3278 37.5049
TA S05C  -120.3296 37.346
TA S06C  -119.8488 37.8817
TA S08C  -118.1711 37.4993
TA S09A  -117.2246 37.7243
TA S10A  -116.5948 37.923
TA S11A  -115.7472 37.6444
TA S12A  -114.8489 37.6083
TA S13A  -113.8604 37.5808
TA S14A  -113.1684 37.7601
TA S15A  -112.3627 37.6761
TA S16A  -111.5961 37.7222
TA S17A  -110.8018 37.6354
TA S18A  -109.9948 37.6903
TA S19A  -109.1366 37.7459
TA S20A  -108.3605 37.83
TA S21A  -107.7917 37.662
TA S22A  -106.8293 37.7461
TA S23A  -106.0023 37.7059
TA S24A  -105.2126 37.6407
TA S25A  -104.4349 37.6606
TA SFIN  -87.0967 40.379
TA SPMN  -92.8037 45.2246
TA SUTB  -121.7861 39.2291
TA T05C  -120.6737 36.8953
TA T06C  -119.7089 37.0069
TA T11A  -115.2202 37.2408
TA T12A  -114.7147 36.7256
TA T13A  -113.9073 37.0195
TA T14A  -113.084 37.0615
TA T15A  -112.3824 37.0183
TA T16A  -111.506 36.9839
TA T17A  -110.8041 36.9969
TA T18A  -109.8741 37.1364
TA T19A  -109.0249 36.8299
TA T21A  -107.5342 36.9914
TA T22A  -106.903 37.0138
TA T23A  -106.0372 37.0361
TA T24A  -105.0521 37.0738
TA T25A  -104.4108 37.1388
TA U04C  -120.7828 36.3627
TA U05C  -120.1205 36.3356
TA U10A  -116.3297 36.4193
TA U11A  -115.3835 36.423
TA U12A  -114.5388 36.4321
TA U13A  -113.9653 36.4151
TA U14A  -113.1805 36.4182
TA U15A  -112.2915 36.428
TA U16A  -111.1297 36.1428
TA U17A  -110.6624 36.5996
TA U18A  -109.8696 36.4199
TA U19A  -109.2076 36.2925
TA U20A  -108.5204 36.3758
TA U21A  -107.6578 36.4277
TA U22A  -106.8546 36.3773
TA U23A  -106.1919 36.3289
TA U24A  -105.2784 36.4093
TA U25A  -104.4081 36.3998
TA U26A  -103.7439 36.3945
TA V03C  -121.2356 36.0214
TA V04C  -120.8699 35.636
TA V05C  -119.9028 35.8667
TA V11A  -115.4305 35.8384
TA V12A  -114.8511 35.7266
TA V13A  -113.984 35.8522
TA V14A  -113.1053 35.6339
TA V15A  -112.1731 35.8191
TA V17A  -110.7938 35.6218
TA V18A  -109.9327 35.7113
TA V19A  -109.0456 35.7147
TA V20A  -108.4662 35.7992
TA V21A  -107.6378 35.8054
TA V22A  -106.9094 35.9138
TA V23A  -106.1833 35.7452
TA V24A  -105.2716 35.7259
TA V25A  -104.6164 35.8383
