ME04  -123.514 41.355
ME05  -122.052 41.526
ME06  -121.695 41.342
ME07  -123.912 41.168
ME08  -123.305 40.222
ME09  -122.726 41.086
ME10  -122.4619 40.9591
ME11  -121.37 41.056
ME12  -122.498 40.104
ME13  -122.918 40.764
ME14  -121.896 41.006
ME14A  -121.8966 41.0076
ME15  -121.684 40.81
ME16  -122.087 40.577
ME17  -121.722 40.536
ME18  -121.022 40.729
ME20  -120.984 40.477
ME21  -121.2376 40.3487
ME23  -121.455 40.396
ME24  -122.047 40.359
ME25  -121.802 40.295
ME26  -122.099 40.157
ME27  -123.155 40.453
ME28  -122.471 40.327
ME29  -123.1408 41.142
ME30  -123.565 40.843
ME31  -123.947 40.722
ME32  -123.859 40.5907
ME33  -123.802 40.483
ME34  -124.127 40.483
ME35  -123.748 40.483
ME36  -124.1638 40.2482
ME37  -123.654 40.285
ME38  -123.5032 40.101
ME39  -123.5943 40.1882
ME41  -123.361 39.885
ME42  -123.273 39.7145
ME43  -123.175 39.5703
ME44  -123.187 39.4928
ME45  -122.9595 39.4666
ME46  -122.968 39.196
ME47  -122.8106 39.1124
ME48  -122.7603 38.9063
ME49  -123.7194 39.8633
ME50  -123.475 39.622
ME52  -123.2191 39.3228
ME53  -123.5934 39.2229
ME54  -123.3779 39.0132
ME55  -123.0762 38.6639
ME57  -122.5676 39.9118
ME59  -121.833 39.83
ME60  -121.5364 39.949
ME61  -122.296 39.532
ME62  -121.919 39.534
ME63  -122.5224 39.3154
ME64  -122.1552 39.2751
ME65  -122.1416 39.0049
ME80  -120.6017 40.3453
ME81  -121.1723 40.1096
ME82  -121.527 39.719
ME83  -120.3973 40.1808
ME84  -120.1875 40.025
ME85  -120.6412 40.0112
ME86  -120.7136 39.8043
ME87  -121.0913 39.6818
ME88  -121.3469 39.2362
ME89  -121.1626 39.3837
ME90  -120.8459 39.4782
ME91  -120.2246 39.6502
ME92  -120.0408 39.4725
ME93  -120.1548 39.0516
MIAR  -93.5765 34.5454
MLAC  -118.8361 37.63019
MNRC  -122.4428 38.87874
MNTX  -105.3821 31.6985
MOD  -120.3029 41.90246
MONP  -116.4225 32.8927
MONP2  -116.4223 32.892
MPM  -117.489 36.05799
MPP  -119.8136 34.88848
MSO  -113.9406 46.8292
MSTX  -102.7724 33.9696
MUR  -117.1954 33.59999
MVCO  -108.4986 37.2103
N02C  -123.3057 40.822
N06A  -119.8346 40.7484
N07B  -118.9711 40.7797
N08A  -118.1337 40.7811
N09A  -117.5244 40.852
N10A  -116.508 40.7186
N11A  -115.736 40.8167
N12A  -115.0387 40.8522
N13A  -114.2045 40.8556
N14A  -113.1867 40.8513
N15A  -112.5201 40.8903
N16A  -111.437 40.8869
N17A  -110.8335 40.9425
N18A  -109.6731 40.9763
N19A  -109.1772 40.8936
N20A  -108.2626 40.8338
N21A  -107.5196 40.76
N22A  -106.4544 40.8023
N23A  -105.944 40.8947
N24A  -104.8824 40.8271
N25A  -104.0873 40.8132
NATX  -94.661 31.7598
NEE  -114.5994 34.8249
NEE2  -114.6188 34.76759
NEW  -117.1227 48.2642
NHSC  -80.1778 33.1067
NLWA  -123.8691 47.3917
O01C  -123.8195 40.1398
O02C  -122.7883 40.1767
O03C  -122.0319 39.9971
O04C  -121.086 40.32
O05C  -120.9176 39.962
O06A  -119.8275 40.165
O07A  -118.8772 40.1614
O08A  -118.155 40.2903
O09A  -117.1899 40.1697
O10A  -116.4999 40.2917
O11A  -115.657 40.1313
O12A  -114.7454 40.2679
O13A  -113.9814 40.1314
O15A  -112.4694 40.2807
O16A  -111.5024 40.2067
O17A  -110.7378 40.1948
O18A  -110.0082 40.2655
O19A  -109.1236 40.2982
O20A  -108.2416 40.1348
O21A  -107.4705 40.2149
O22A  -106.547 40.1618
O23A  -105.9178 40.2109
O24A  -105.0729 40.1227
O25A  -104.1201 40.1129
OGNE  -102.033 40.9451
OMM  -119.0004 37.6123
ORV  -121.5004 39.55451
OSI  -118.7235 34.6145
OXF  -89.4092 34.5118
P01C  -123.3375 39.469
P05C  -120.6077 39.3028
P06A  -119.8983 39.6785
P07A  -118.8893 39.5399
P08A  -118.08 39.6946
P09A  -117.1395 39.5516
P10A  -116.4639 39.6202
P11A  -115.7536 39.553
P12A  -114.9075 39.4731
P13A  -114.0156 39.455
P14A  -113.0687 39.5906
P15A  -112.2786 39.5708
P16A  -111.6595 39.6092
P17A  -110.74 39.473
P18A  -110.2457 39.6279
P19A  -108.9812 39.6333
P20A  -108.3912 39.4998
P21A  -107.4493 39.524
P22A  -106.7589 39.5952
P23A  -105.8388 39.3741
P24A  -104.9082 39.5144
P25A  -104.168 39.5125
PACP  -121.287 37.008
PAL  -73.9079 41.0056
PASC  -118.1852 34.17141
PDM  -114.1415 34.30336
PFO  -116.4553 33.6092
PKD  -120.5416 35.94517
PKME  -69.2917 45.2644
Q03C  -122.0145 38.6333
Q04C  -121.3769 38.839
Q07A  -118.8078 38.9383
Q08A  -117.9316 38.8606
Q09A  -117.1816 38.834
Q10A  -116.3999 38.8247
Q11A  -115.6541 38.8455
Q12A  -114.8299 39.04
Q13A  -114.0202 38.9551
Q14A  -113.2769 38.9882
Q15A  -112.3793 38.9995
Q16A  -111.1716 38.9176
Q18A  -110.1328 39.1025
Q19A  -109.263 38.9553
Q20A  -108.2956 38.9541
Q21A  -107.5738 38.8347
Q22A  -106.9096 38.8627
Q23A  -105.8337 38.9045
Q24A  -105.1492 38.9641
Q25A  -104.2472 38.9145
R04C  -120.9363 38.2571
R05C  -120.0755 38.7028
R06C  -119.4509 38.5226
R07C  -119.0469 38.089
R08A  -118.1064 38.3489
R09A  -117.0718 38.2397
R10A  -116.3021 38.2886
R11A  -115.5854 38.3489
R12A  -114.6076 38.3281
R13A  -113.9691 38.1802
R14A  -113.0213 38.2987
R15A  -112.2767 38.2108
R16A  -111.4827 38.2843
R17A  -110.7109 38.4187
R18A  -109.8942 38.3862
R19A  -109.2607 38.2916
R20A  -108.3792 38.1888
R21A  -107.5501 38.3685
R22A  -106.7561 38.2289
R24A  -105.1075 38.2315
R25A  -104.2834 38.1474
RCT  -119.2438 36.30523
RLMT  -109.2673 45.1221
RRX  -116.9968 34.87533
RSSD  -104.0359 44.1212
S04C  -121.3278 37.5049
S05C  -120.3296 37.346
S06C  -119.8488 37.8817
S08C  -118.1711 37.4993
S09A  -117.2246 37.7243
S10A  -116.5948 37.923
S11A  -115.7472 37.6444
S12A  -114.8489 37.6083
S13A  -113.8604 37.5808
S14A  -113.1684 37.7601
S15A  -112.3627 37.6761
S16A  -111.5961 37.7222
S17A  -110.8018 37.6354
S18A  -109.9948 37.6903
S19A  -109.1366 37.7459
S20A  -108.3605 37.83
S21A  -107.7917 37.662
S22A  -106.8293 37.7461
S23A  -106.0023 37.7059
S24A  -105.2126 37.6407
S25A  -104.4349 37.6606
SAO  -121.4472 36.76403
SBC  -119.7149 34.44076
SC05  -105.0554 34.5715
SC06  -104.2664 34.5145
SC07  -105.6877 34.1838
SC08  -105.4697 34.1567
SC09  -105.0013 34.1517
SC10  -104.6666 34.1937
SC11  -104.2959 34.2323
SC12  -103.9116 34.2148
SC13  -103.5269 34.2135
SC14  -105.7695 33.9682
SC15  -105.0255 33.8308
SC16  -104.3043 33.8903
SC17  -103.5446 33.893
SC18  -102.8409 33.8774
SC20  -105.5935 33.6042
SC21  -105.1655 33.5975
SC23  -104.3282 33.5995
SC25  -103.5482 33.5806
SC26  -103.1184 33.5044
SC27  -102.8207 33.5385
SC28  -102.4915 33.5662
SC29  -105.6705 33.3102
SC31  -104.3415 33.259
SC32  -103.5979 33.1939
SC33  -102.8343 33.2334
SC34  -105.8163 32.9513
SC35  -105.5153 32.9369
SC36  -105.18 33.0053
SC37  -104.6192 32.937
SC38  -104.3402 32.9288
SC39  -103.8453 33.0286
SC40  -103.54 32.9317
SC41  -103.2056 32.9833
SC42  -102.8612 32.8728
SC43  -102.5369 32.9426
SC44  -105.947 32.7572
SC45  -105.1552 32.6337
SC46  -104.3614 32.654
SC47  -103.6257 32.629
SC48  -102.905 32.6899
SC49  -106.064 32.443
SC51  -105.1718 32.3673
SC52  -104.8272 32.488
SC53  -104.3192 32.3766
SC54  -104.0398 32.2837
SC55  -103.6733 32.1712
SC56  -103.3986 32.3554
SC57  -102.8513 32.3691
SC58  -102.5482 32.2888
SC59  -105.1481 31.9694
SC60  -104.4877 32.0937
SC61  -103.6911 31.9895
SC62  -102.9373 32.0119
SC63  -104.8464 31.8029
SC64  -104.4258 31.6996
SC65  -104.0178 31.727
SC66  -103.7363 31.6679
SC67  -103.3951 31.7051
SC68  -102.77 31.8027
SC69  -102.588 31.6905
SC70  -103.7374 31.3663
SC72  -103.6346 31.1096
SC73  -102.9875 30.9611
SC74  -102.6771 31.0024
SC75  -105.952 31.8742
SCI2  -118.547 32.9799
SCIA  -93.2153 41.9069
SCZ2  -119.6351 33.99543
